run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
86,client,False,612999000,612.999,724713300,724.713,33,195074,7130433400,7030000,363463000,207948000,11198000,194800,297600,731500,855400,3555000,2122000,29658000,648567000,38583000,1980000,134800
87,server,False,587437600,587.438,695298300,695.298,33,195074,7080904800,10095000,328963000,210520000,10144000,219800,451800,973600,922800,4541000,3252000,27505000,637293000,22089000,47200,449700
87,client,False,589954600,589.955,694644000,694.644,33,195074,7080904800,6005000,345004000,203051000,10026000,391600,390400,666600,876300,4751000,2096000,27878000,651173000,7302000,1210000,136200
88,server,False,599705100,599.705,708237900,708.238,33,195074,7124276700,10853000,333348000,212379000,11362000,230500,185700,6654000,1145000,3535000,2837000,28181000,645152000,28018000,46500,354300
88,client,False,600729600,600.730,707414400,707.414,33,195074,7124276700,6314000,340294000,220129000,10016000,307600,416000,690700,858700,3315000,2124000,28192000,648417000,22977000,2146000,141100
89,server,False,582266800,582.267,717586400,717.586,33,195074,7096072400,11732000,325818000,207410000,10528000,260900,557900,685600,933900,3485000,2839000,28961000,655657000,26129000,39500,353100
89,client,False,581307300,581.307,716821500,716.822,33,195074,7096072400,6159000,327671000,213768000,10019000,198500,743300,698000,895300,3460000,2080000,29161000,642532000,38458000,886400,147800
90,server,False,571098600,571.099,700558600,700.559,33,195074,7095712600,9305000,322190000,201496000,11640000,493600,415400,642900,1697000,3304000,2018000,27937000,641813000,25001000,49300,331200
90,client,False,608235900,608.236,703256700,703.257,33,195074,7095712600,6199000,356284000,210341000,10095000,198100,169300,312400,905300,3299000,5134000,27516000,631362000,32062000,3641000,140000
91,server,False,592020100,592.020,717553800,717.554,33,195074,7110687200,11282000,333463000,214878000,10494000,397400,442700,715300,929400,3359000,3944000,28499000,644308000,33326000,3865000,139000
91,client,False,582722400,582.722,717512500,717.513,33,195074,7110687200,6213000,328729000,214903000,9964000,246500,455500,679400,1339000,4713000,1958000,28875000,647723000,33743000,47800,344500
92,server,False,602828500,602.828,707171300,707.171,33,195074,7108001000,11056000,338243000,217320000,10214000,227200,489100,687000,907900,3143000,4357000,29398000,646115000,21985000,1939000,137800
92,client,False,583701700,583.702,705568700,705.569,33,195074,7108001000,6240000,335026000,205281000,10011000,485900,382200,659000,1353000,3138000,2258000,29896000,648179000,21584000,50700,337700
93,server,False,599751300,599.751,675622500,675.622,33,195074,7143757200,9684000,335701000,218124000,11025000,219300,425100,688900,1080000,3461000,2067000,27798000,630839000,9968000,1255000,137500
93,client,False,632892000,632.892,675747500,675.747,33,195074,7143757200,27338000,336847000,208742000,32974000,288600,440500,680000,1355000,3469000,2143000,27729000,626072000,15856000,43800,328000
94,server,False,584193000,584.193,701630200,701.630,33,195074,7154656500,9073000,332749000,210644000,9940000,216400,158800,336300,916300,3698000,5092000,27824000,631914000,32814000,21400,168500
94,client,False,629755000,629.755,698639000,698.639,33,195074,7154656500,27837000,332052000,209620000,31499000,209900,153100,342300,1044000,3265000,1941000,28189000,641581000,23286000,21900,248600
95,server,False,599083200,599.083,686459700,686.460,33,195074,7090571300,9892000,343782000,210567000,10178000,223600,439000,892700,904000,3281000,3747000,27667000,630787000,19009000,1744000,137200
95,client,False,586683900,586.684,685111400,685.111,33,195074,7090571300,5740000,330430000,216801000,10171000,199400,150500,296900,1019000,3294000,2044000,27904000,629142000,22252000,42100,329800
96,server,False,602510400,602.510,710375100,710.375,33,195074,7106353700,9201000,341721000,213770000,11352000,210100,485700,703900,937300,3120000,3521000,27612000,644863000,30387000,626200,136500
96,client,False,579808600,579.809,711207500,711.207,33,195074,7106353700,6075000,331633000,213149000,9977000,191500,150300,303200,875900,4930000,2054000,28194000,640288000,35266000,43700,313400
97,server,False,590758000,590.758,727424500,727.424,33,195074,7179879500,11704000,326811000,215447000,10517000,379700,463600,692800,926200,3267000,4711000,29036000,648435000,40119000,1619000,135300
97,client,False,635405200,635.405,725384700,725.385,33,195074,7179879500,27230000,330233000,218039000,32697000,497100,416000,665400,998700,3358000,2018000,29672000,658184000,31661000,38200,337100
98,server,False,602190400,602.190,699486800,699.487,33,195074,7095647800,9910000,345508000,214067000,10098000,210400,169700,339300,896700,3348000,2633000,28421000,643592000,21075000,17900,268300
