run_idx,party,warmup,offline_ns,offline_ms,online_ns,online_ms,online_rounds,comm_bytes,wall_ns,offline_b1a_alpha_prg_draw_ns,offline_b2a_idpf_gen_mem_ns,offline_b2b_idpf_write_disk_ns,offline_b1b_alpha_shares_ns,offline_b3_q_bool_ns,offline_b4_q_arith_ns,offline_b5_beavers_ns,offline_m1m2_zc_dpf_ns,online_o1_init_mask_prep_ns,online_o2_mask_exchange_ns,online_o3_round_0_ns,online_o4a_middle_idpf_ns,online_o4b_middle_algebra_net_ns,online_o5_last_round_ns,online_o6_vidpf_verify_ns
59,server,False,579340400,579.340,655832800,655.833,33,195074,7018457000,11452000,314344000,216822000,12314000,509700,423900,665600,1240000,3365000,2200000,28002000,602321000,17704000,2000000,137800
59,client,False,567819000,567.819,655768700,655.769,33,195074,7018457000,5736000,312363000,217250000,10104000,205700,156300,328900,891500,3383000,1991000,27944000,610392000,11633000,42200,280200
60,server,False,599473300,599.473,670356600,670.357,33,195074,7046567200,9857000,336909000,222936000,10124000,220200,164200,326100,883700,3304000,1972000,28441000,621629000,14471000,18000,423900
60,client,False,565313500,565.313,670255800,670.256,33,195074,7046567200,6019000,318423000,211783000,9903000,198500,145500,312100,773500,3146000,2082000,28448000,620851000,13525000,1928000,154600
61,server,False,563318400,563.318,677577900,677.578,33,195074,7004860600,5887000,312454000,214444000,10144000,216900,149000,353500,1719000,3129000,2224000,28107000,622131000,17286000,4457000,134900
61,client,False,564526900,564.527,677549000,677.549,33,195074,7004860600,5712000,310737000,213520000,9855000,194300,150000,298100,842700,3270000,1903000,28031000,623217000,20648000,41700,330900
62,server,False,583566800,583.567,681043600,681.044,33,195074,7045454800,9249000,327825000,212332000,10147000,492000,405000,681400,947800,3208000,1978000,28455000,612604000,32411000,2161000,135500
62,client,False,563202600,563.203,684045200,684.045,33,195074,7045454800,6143000,313410000,210388000,9863000,551500,413900,663700,879600,3157000,5051000,28201000,629874000,17222000,41300,387600
63,server,False,575535100,575.535,687211000,687.211,33,195074,7032423400,10193000,317456000,216734000,10350000,199600,172300,348800,1330000,4046000,2269000,28728000,620329000,31387000,208400,142500
63,client,False,564760100,564.760,687846900,687.847,33,195074,7032423400,5783000,318747000,210957000,9902000,205000,173300,323100,846000,3454000,3732000,28309000,634143000,17834000,19700,250800
64,server,False,569172000,569.172,661208600,661.209,33,195074,7012538300,10234000,311120000,216743000,11030000,286100,170400,349900,1272000,3333000,2018000,30028000,607362000,16673000,1538000,156200
64,client,False,570308600,570.309,662410300,662.410,33,195074,7012538300,5992000,316750000,213386000,9903000,483500,412800,647400,1026000,3154000,3681000,29594000,610308000,15245000,20300,310000
65,server,False,578882900,578.883,649939900,649.940,33,195074,7013351300,9318000,317587000,219107000,9950000,209500,249400,798400,988700,3539000,3541000,28648000,599982000,11461000,2522000,142100
65,client,False,575072700,575.073,648290000,648.290,33,195074,7013351300,6278000,326534000,213444000,9794000,200700,147000,299700,817400,3317000,1948000,28744000,605917000,7989000,16600,279700
66,server,False,610040400,610.040,669578800,669.579,33,195074,7094907100,31721000,306815000,213879000,31777000,313800,1197000,755700,1420000,3260000,2025000,30948000,614952000,17967000,168600,158700
66,client,False,584905500,584.905,670858200,670.858,33,195074,7094907100,5583000,330767000,214478000,10216000,316300,473100,691400,849300,3207000,3721000,30694000,614041000,18859000,17900,216700
67,server,False,591186500,591.187,648481400,648.481,33,195074,7037541500,10058000,312556000,237031000,10825000,232300,183100,662700,875000,3244000,2248000,27742000,607362000,7434000,24100,331400
67,client,False,584452400,584.452,648438500,648.438,33,195074,7037541500,6158000,322866000,221221000,9981000,391200,401100,643600,834700,3371000,2037000,27675000,609309000,5558000,214500,156700
68,server,False,584735700,584.736,672088700,672.089,33,195074,7048382200,10316000,333282000,208395000,10601000,251200,175800,323100,1234000,3088000,2137000,27304000,621309000,17893000,26300,225800
68,client,False,584047700,584.048,672080900,672.081,33,195074,7048382200,6526000,319088000,224715000,9938000,329900,432600,779600,875100,3247000,1930000,27317000,633759000,5222000,336900,162200
69,server,False,575569800,575.570,759318500,759.318,33,195074,7111928000,10015000,315925000,218795000,10128000,213000,162100,318000,1060000,4297000,3173000,36470000,703644000,11004000,361800,189000
69,client,False,562774500,562.774,758635800,758.636,33,195074,7111928000,5695000,312861000,213857000,10138000,201600,173000,911800,843600,4364000,2381000,36441000,698101000,16808000,21900,379900
70,server,False,571427800,571.428,689510700,689.511,33,195074,7073146500,6001000,313864000,216984000,11411000,276100,218400,866000,1358000,3738000,2321000,28868000,648859000,5262000,23700,326000
70,client,False,596901100,596.901,689944400,689.944,33,195074,7073146500,6242000,327554000,226413000,11273000,265400,750600,2326000,1180000,3582000,3014000,28815000,641387000,12478000,368300,162900
71,server,False,576613800,576.614,659643500,659.644,33,195074,7011039600,6230000,309571000,227951000,10591000,575500,517600,748800,1160000,3465000,3410000,28600000,622493000,1254000,20900,278200
71,client,False,572060200,572.060,658275600,658.276,33,195074,7011039600,6294000,320882000,211034000,10137000,230100,172100,351600,869200,3414000,2115000,28528000,614820000,8854000,251600,170000
72,server,False,570468700,570.469,688458200,688.458,33,195074,7029825000,6053000,316463000,216927000,10874000,247000,179900,372100,1013000,3485000,1993000,29104000,648683000,4823000,22800,226600
72,client,False,565132400,565.132,689291300,689.291,33,195074,7029825000,6420000,318678000,209810000,10170000,222700,551800,431800,881600,3534000,2928000,28929000,647451000,4315000,1817000,182200
